REGION,YEAR,WEEK,% WEIGHTED ILI,%UNWEIGHTED ILI,ILITOTAL,NUM. OF PROVIDERS,TOTAL PATIENTS
Arizona,2010,41,X,0.749939,183,49,24402
Arkansas,2010,41,X,0.674157,18,14,2670
California,2010,41,X,2.15266,742,122,34469
Colorado,2010,41,X,0.628621,115,12,18294
Connecticut,2010,41,X,0.238095,9,15,3780
Delaware,2010,41,X,0.36855,15,13,4070
District of Columbia,2010,41,X,2.89079,81,4,2802
Florida,2010,41,X,X,X,X,X
Georgia,2010,41,X,1.71307,702,63,40979
Hawaii,2010,41,X,1.75246,32,19,1826
Idaho,2010,41,X,1.45798,68,12,4664
Illinois,2010,41,X,1.45089,600,76,41354
Indiana,2010,41,X,0.653137,84,45,12861
Iowa,2010,41,X,0.860956,20,7,2323
Kansas,2010,41,X,0.57749,49,40,8485
Kentucky,2010,41,X,0.223975,23,14,10269
Louisiana,2010,41,X,2.04776,325,39,15871
Maine,2010,41,X,0.434855,26,29,5979
Maryland,2010,41,X,2.09879,99,17,4717
Massachusetts,2010,41,X,0.887866,216,54,24328
Michigan,2010,41,X,0.585011,95,53,16239
Minnesota,2010,41,X,0.541293,35,18,6466
Mississippi,2010,41,X,2.97075,523,45,17605
Missouri,2010,41,X,0.930521,90,32,9672
Montana,2010,41,X,0.180963,5,7,2763
Nebraska,2010,41,X,2.73532,68,12,2486
Nevada,2010,41,X,1.63633,187,33,11428
New Hampshire,2010,41,X,0.0924642,4,22,4326
New Jersey,2010,41,X,2.47836,189,24,7626
New Mexico,2010,41,X,1.9635,142,22,7232
New York,2010,41,X,0.369729,47,89,12712
North Carolina,2010,41,X,0.53653,141,77,26280
North Dakota,2010,41,X,0.721961,43,19,5956
Ohio,2010,41,X,0.361628,55,44,15209
Oklahoma,2010,41,X,0.958678,29,17,3025
Oregon,2010,41,X,0.624076,38,19,6089
Pennsylvania,2010,41,X,0.910726,157,64,17239
Rhode Island,2010,41,X,0.201545,12,21,5954
South Carolina,2010,41,X,0.765523,54,25,7054
South Dakota,2010,41,X,0.793794,44,18,5543
Tennessee,2010,41,X,0.499492,59,50,11812
Texas,2010,41,X,2.09394,1061,97,50670
Utah,2010,41,X,0.410939,29,19,7057
Vermont,2010,41,X,1.35777,40,10,2946
Virginia,2010,41,X,1.23653,754,83,60977
Washington,2010,41,X,1.04007,34,16,3269
West Virginia,2010,41,X,1.58968,170,34,10694
Wisconsin,2010,41,X,0.581832,31,48,5328
